Package,LibPath,Version,Priority,Built
nloptr,C:/Users/by22/Documents/R/win-library/3.4,1.0.4,NA,3.4.1
nordyr,C:/Users/by22/Documents/R/win-library/3.4,0.3.1400,NA,3.4.3
numDeriv,C:/Users/by22/Documents/R/win-library/3.4,2016.8-1,NA,3.4.1
nycflights13,C:/Users/by22/Documents/R/win-library/3.4,0.2.2,NA,3.4.3
officer,C:/Users/by22/Documents/R/win-library/3.4,0.1.8,NA,3.4.2
openssl,C:/Users/by22/Documents/R/win-library/3.4,1.0.2,NA,3.4.4
openxlsx,C:/Users/by22/Documents/R/win-library/3.4,4.1.0,NA,3.4.4
optmatch,C:/Users/by22/Documents/R/win-library/3.4,0.9-7,NA,3.4.1
packrat,C:/Users/by22/Documents/R/win-library/3.4,0.4.9-1,NA,3.4.3
pander,C:/Users/by22/Documents/R/win-library/3.4,0.6.1,NA,3.4.3
parallelMap,C:/Users/by22/Documents/R/win-library/3.4,1.3,NA,3.4.4
ParamHelpers,C:/Users/by22/Documents/R/win-library/3.4,1.11,NA,3.4.4
party,C:/Users/by22/Documents/R/win-library/3.4,1.2-3,NA,3.4.1
partykit,C:/Users/by22/Documents/R/win-library/3.4,1.2-2,NA,3.4.4
pbkrtest,C:/Users/by22/Documents/R/win-library/3.4,0.4-7,NA,3.4.1
pbmcapply,C:/Users/by22/Documents/R/win-library/3.4,1.2.4,NA,3.4.1
pillar,C:/Users/by22/Documents/R/win-library/3.4,1.3.0,NA,3.4.4
pkgconfig,C:/Users/by22/Documents/R/win-library/3.4,2.0.1,NA,3.4.0
PKI,C:/Users/by22/Documents/R/win-library/3.4,0.1-5.1,NA,3.4.1
plogr,C:/Users/by22/Documents/R/win-library/3.4,0.1-1,NA,3.4.0
plotly,C:/Users/by22/Documents/R/win-library/3.4,4.7.1,NA,3.4.3
pls,C:/Users/by22/Documents/R/win-library/3.4,2.7-0,NA,3.4.4
plyr,C:/Users/by22/Documents/R/win-library/3.4,1.8.4,NA,3.4.0
png,C:/Users/by22/Documents/R/win-library/3.4,0.1-7,NA,3.4.0
polynom,C:/Users/by22/Documents/R/win-library/3.4,1.3-9,NA,3.4.1
prettyunits,C:/Users/by22/Documents/R/win-library/3.4,1.0.2,NA,3.4.1
pROC,C:/Users/by22/Documents/R/win-library/3.4,1.10.0,NA,3.4.1
prodlim,C:/Users/by22/Documents/R/win-library/3.4,2018.04.18,NA,3.4.4
progress,C:/Users/by22/Documents/R/win-library/3.4,1.1.2,NA,3.4.1
proto,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.0
psych,C:/Users/by22/Documents/R/win-library/3.4,1.7.5,NA,3.4.0
purrr,C:/Users/by22/Documents/R/win-library/3.4,0.2.4,NA,3.4.3
quadprog,C:/Users/by22/Documents/R/win-library/3.4,1.5-5,NA,3.4.0
quantmod,C:/Users/by22/Documents/R/win-library/3.4,0.4-10,NA,3.4.1
quantreg,C:/Users/by22/Documents/R/win-library/3.4,5.33,NA,3.4.1
R.methodsS3,C:/Users/by22/Documents/R/win-library/3.4,1.7.1,NA,3.4.1
R.oo,C:/Users/by22/Documents/R/win-library/3.4,1.21.0,NA,3.4.1
R.utils,C:/Users/by22/Documents/R/win-library/3.4,2.5.0,NA,3.4.2
R6,C:/Users/by22/Documents/R/win-library/3.4,2.2.2,NA,3.4.0
randomForest,C:/Users/by22/Documents/R/win-library/3.4,4.6-12,NA,3.4.1
randomForestSRC,C:/Users/by22/Documents/R/win-library/3.4,2.7.0,NA,3.4.4
rappdirs,C:/Users/by22/Documents/R/win-library/3.4,0.3.1,NA,3.4.3
raster,C:/Users/by22/Documents/R/win-library/3.4,2.6-7,NA,3.4.3
rattle,C:/Users/by22/Documents/R/win-library/3.4,4.1.0,NA,3.4.1
RColorBrewer,C:/Users/by22/Documents/R/win-library/3.4,1.1-2,NA,3.4.1
Rcpp,C:/Users/by22/Documents/R/win-library/3.4,0.12.14,NA,3.4.3
RcppArmadillo,C:/Users/by22/Documents/R/win-library/3.4,0.7.900.2.0,NA,3.4.1
RcppEigen,C:/Users/by22/Documents/R/win-library/3.4,0.3.3.4.0,NA,3.4.4
RcppRoll,C:/Users/by22/Documents/R/win-library/3.4,0.3.0,NA,3.4.4
RCurl,C:/Users/by22/Documents/R/win-library/3.4,1.95-4.8,NA,3.4.0
readr,C:/Users/by22/Documents/R/win-library/3.4,1.1.1,NA,3.4.0
readxl,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
recipes,C:/Users/by22/Documents/R/win-library/3.4,0.1.3,NA,3.4.4
rematch,C:/Users/by22/Documents/R/win-library/3.4,1.0.1,NA,3.4.0
reprex,C:/Users/by22/Documents/R/win-library/3.4,0.1.1,NA,3.4.3
reshape,C:/Users/by22/Documents/R/win-library/3.4,0.8.6,NA,3.4.1
reshape2,C:/Users/by22/Documents/R/win-library/3.4,1.4.3,NA,3.4.3
rgdal,C:/Users/by22/Documents/R/win-library/3.4,1.2-7,NA,3.4.0
rgenoud,C:/Users/by22/Documents/R/win-library/3.4,5.7-12.4,NA,3.4.1
rgeos,C:/Users/by22/Documents/R/win-library/3.4,0.3-23,NA,3.4.0
RgoogleMaps,C:/Users/by22/Documents/R/win-library/3.4,1.4.1,NA,3.4.0
RGtk2,C:/Users/by22/Documents/R/win-library/3.4,2.20.33,NA,3.4.0
RItools,C:/Users/by22/Documents/R/win-library/3.4,0.1-15,NA,3.4.1
rJava,C:/Users/by22/Documents/R/win-library/3.4,0.9-10,NA,3.4.4
RJDBC,C:/Users/by22/Documents/R/win-library/3.4,0.2-7.1,NA,3.4.4
rjson,C:/Users/by22/Documents/R/win-library/3.4,0.2.15,NA,3.4.0
RJSONIO,C:/Users/by22/Documents/R/win-library/3.4,1.3-0,NA,3.4.1
rlang,C:/Users/by22/Documents/R/win-library/3.4,0.2.1,NA,3.4.4
rmarkdown,C:/Users/by22/Documents/R/win-library/3.4,1.10,NA,3.4.4
robustbase,C:/Users/by22/Documents/R/win-library/3.4,0.93-3,NA,3.4.4
ROCR,C:/Users/by22/Documents/R/win-library/3.4,1.0-7,NA,3.4.4
RODBC,C:/Users/by22/Documents/R/win-library/3.4,1.3-15,NA,3.4.1
rpart.plot,C:/Users/by22/Documents/R/win-library/3.4,2.1.2,NA,3.4.3
RPostgreSQL,C:/Users/by22/Documents/R/win-library/3.4,0.6-2,NA,3.4.0
rprojroot,C:/Users/by22/Documents/R/win-library/3.4,1.2,NA,3.4.1
rsconnect,C:/Users/by22/Documents/R/win-library/3.4,0.8.8,NA,3.4.4
rstudioapi,C:/Users/by22/Documents/R/win-library/3.4,0.7,NA,3.4.3
rvest,C:/Users/by22/Documents/R/win-library/3.4,0.3.2,NA,3.4.0
RWeka,C:/Users/by22/Documents/R/win-library/3.4,0.4-39,NA,3.4.4
RWekajars,C:/Users/by22/Documents/R/win-library/3.4,3.9.3-1,NA,3.4.4
rwunderground,C:/Users/by22/Documents/R/win-library/3.4,0.1.7,NA,3.4.3
sandwich,C:/Users/by22/Documents/R/win-library/3.4,2.3-4,NA,3.4.1
scales,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.4
selectr,C:/Users/by22/Documents/R/win-library/3.4,0.3-1,NA,3.4.0
sf,C:/Users/by22/Documents/R/win-library/3.4,0.5-5,NA,3.4.3
sfsmisc,C:/Users/by22/Documents/R/win-library/3.4,1.1-2,NA,3.4.4
shiny,C:/Users/by22/Documents/R/win-library/3.4,1.0.3,NA,3.4.0
skimr,C:/Users/by22/Documents/R/win-library/3.4,1.0.2,NA,3.4.3
snakecase,C:/Users/by22/Documents/R/win-library/3.4,0.9.1,NA,3.4.4
sourcetools,C:/Users/by22/Documents/R/win-library/3.4,0.1.6,NA,3.4.0
sp,C:/Users/by22/Documents/R/win-library/3.4,1.2-4,NA,3.4.0
SparseM,C:/Users/by22/Documents/R/win-library/3.4,1.77,NA,3.4.0
splus2R,C:/Users/by22/Documents/R/win-library/3.4,1.2-2,NA,3.4.1
SQUAREM,C:/Users/by22/Documents/R/win-library/3.4,2017.10-1,NA,3.4.2
stargazer,C:/Users/by22/Documents/R/win-library/3.4,5.2.1,NA,3.4.3
stringi,C:/Users/by22/Documents/R/win-library/3.4,1.1.5,NA,3.4.0
stringr,C:/Users/by22/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
strucchange,C:/Users/by22/Documents/R/win-library/3.4,1.5-1,NA,3.4.1
survey,C:/Users/by22/Documents/R/win-library/3.4,3.32-1,NA,3.4.1
svd,C:/Users/by22/Documents/R/win-library/3.4,0.4,NA,3.4.1
TeachingDemos,C:/Users/by22/Documents/R/win-library/3.4,2.10,NA,3.4.1
TH.data,C:/Users/by22/Documents/R/win-library/3.4,1.0-8,NA,3.4.1
tibble,C:/Users/by22/Documents/R/win-library/3.4,1.4.2,NA,3.4.4
tidyr,C:/Users/by22/Documents/R/win-library/3.4,0.7.2,NA,3.4.3
tidyselect,C:/Users/by22/Documents/R/win-library/3.4,0.2.3,NA,3.4.3
tidyverse,C:/Users/by22/Documents/R/win-library/3.4,1.2.1,NA,3.4.3
tigris,C:/Users/by22/Documents/R/win-library/3.4,0.6.2,NA,3.4.3
tikzDevice,C:/Users/by22/Documents/R/win-library/3.4,0.10-1.2,NA,3.4.3
timeDate,C:/Users/by22/Documents/R/win-library/3.4,3012.100,NA,3.4.0
tinytex,C:/Users/by22/Documents/R/win-library/3.4,0.6,NA,3.4.4
tis,C:/Users/by22/Documents/R/win-library/3.4,1.32,NA,3.4.1
tseries,C:/Users/by22/Documents/R/win-library/3.4,0.10-42,NA,3.4.1
TTR,C:/Users/by22/Documents/R/win-library/3.4,0.23-2,NA,3.4.1
udunits2,C:/Users/by22/Documents/R/win-library/3.4,0.13,NA,3.4.1
units,C:/Users/by22/Documents/R/win-library/3.4,0.4-6,NA,3.4.3
usethis,C:/Users/by22/Documents/R/win-library/3.4,1.4.0,NA,3.4.4
utf8,C:/Users/by22/Documents/R/win-library/3.4,1.1.3,NA,3.4.3
uuid,C:/Users/by22/Documents/R/win-library/3.4,0.1-2,NA,3.4.1
VGAM,C:/Users/by22/Documents/R/win-library/3.4,1.0-4,NA,3.4.1
viridis,C:/Users/by22/Documents/R/win-library/3.4,0.4.1,NA,3.4.3
viridisLite,C:/Users/by22/Documents/R/win-library/3.4,0.3.0,NA,3.4.4
WDI,C:/Users/by22/Documents/R/win-library/3.4,2.4,NA,3.4.1
weatherData,C:/Users/by22/Documents/R/win-library/3.4,0.6.0,NA,3.4.0
WhatIf,C:/Users/by22/Documents/R/win-library/3.4,1.5-9,NA,3.4.1
whisker,C:/Users/by22/Documents/R/win-library/3.4,0.3-2,NA,3.4.0
withr,C:/Users/by22/Documents/R/win-library/3.4,2.1.2,NA,3.4.3
xfun,C:/Users/by22/Documents/R/win-library/3.4,0.3,NA,3.4.4
xgboost,C:/Users/by22/Documents/R/win-library/3.4,0.71.2,NA,3.4.4
xlsx,C:/Users/by22/Documents/R/win-library/3.4,0.6.1,NA,3.4.4
xlsxjars,C:/Users/by22/Documents/R/win-library/3.4,0.6.1,NA,3.4.4
XML,C:/Users/by22/Documents/R/win-library/3.4,3.98-1.9,NA,3.4.0
xml2,C:/Users/by22/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
xtable,C:/Users/by22/Documents/R/win-library/3.4,1.8-2,NA,3.4.0
xts,C:/Users/by22/Documents/R/win-library/3.4,0.10-0,NA,3.4.1
yaImpute,C:/Users/by22/Documents/R/win-library/3.4,1.0-30,NA,3.4.4
yaml,C:/Users/by22/Documents/R/win-library/3.4,2.2.0,NA,3.4.4
Zelig,C:/Users/by22/Documents/R/win-library/3.4,5.1-3,NA,3.4.1
zip,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
zipcode,C:/Users/by22/Documents/R/win-library/3.4,1.0,NA,3.4.1
zoo,C:/Users/by22/Documents/R/win-library/3.4,1.8-0,NA,3.4.1
base,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
boot,C:/Program Files/R/R-3.4.3/library,1.3-20,recommended,3.4.3
class,C:/Program Files/R/R-3.4.3/library,7.3-14,recommended,3.4.3
cluster,C:/Program Files/R/R-3.4.3/library,2.0.6,recommended,3.4.3
codetools,C:/Program Files/R/R-3.4.3/library,0.2-15,recommended,3.4.3
compiler,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
datasets,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
foreign,C:/Program Files/R/R-3.4.3/library,0.8-69,recommended,3.4.3
graphics,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grDevices,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grid,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
KernSmooth,C:/Program Files/R/R-3.4.3/library,2.23-15,recommended,3.4.3
lattice,C:/Program Files/R/R-3.4.3/library,0.20-35,recommended,3.4.3
MASS,C:/Program Files/R/R-3.4.3/library,7.3-47,recommended,3.4.3
Matrix,C:/Program Files/R/R-3.4.3/library,1.2-12,recommended,3.4.3
methods,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
mgcv,C:/Program Files/R/R-3.4.3/library,1.8-22,recommended,3.4.3
nlme,C:/Program Files/R/R-3.4.3/library,3.1-131,recommended,3.4.3
nnet,C:/Program Files/R/R-3.4.3/library,7.3-12,recommended,3.4.3
parallel,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
rpart,C:/Program Files/R/R-3.4.3/library,4.1-11,recommended,3.4.3
spatial,C:/Program Files/R/R-3.4.3/library,7.3-11,recommended,3.4.3
splines,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats4,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
survival,C:/Program Files/R/R-3.4.3/library,2.41-3,recommended,3.4.3
tcltk,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
tools,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
translations,C:/Program Files/R/R-3.4.3/library,3.4.3,NA,3.4.3
utils,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
